N,ID,縣市,鄉鎮市區,路名,郵遞區號,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積
1118,PU-1119,高雄市,鳳山區,文武街,830,-0.1206139351572943,5,5,5,2,4,1,39.583333333333336,-1.095713046007856,-0.8193256863726953,0.0,182636,2504002,,-0.6151473358461322,-1.6420771089734696,-0.4384519028208025
1119,PU-1120,新北市,新店區,建國路,231,-1.0066832988969432,5,13,15,2,4,0,14.166666666666666,-0.6952599011474527,-0.8193256863726953,0.0,304298,2763833,,-1.041747424155886,-0.0603057065736172,-0.4384519028208025
1120,PU-1121,桃園市,楊梅區,青山一街,326,-0.5815295871535782,5,8,15,10,4,0,2.75,-0.5234729709993027,-0.8193256863726953,0.0,267621,2757067,,-0.8114739016862974,-0.3128431041520186,-0.4384519028208025
1121,PU-1122,新北市,中和區,保健路,235,0.031061874611636,5,2,4,2,1,1,48.333333333333336,-1.176148397916689,-0.8193256863726953,0.0,301275,2765497,,-0.7464089014799027,-1.6420771089734696,-0.4384519028208025
1122,PU-1123,台南市,東區,林森路二段,701,-0.9809673875591592,5,8,16,2,4,0,27.83333333333333,0.0889847799636674,-0.8193256863726953,0.0,170337,2543068,,0.3096243410004101,0.0676693259830051,-0.2185319975819862
1123,PU-1124,新北市,板橋區,廣權路,220,-0.3395116178344323,5,4,5,2,4,1,44.0,-0.7446701887485929,-0.8193256863726953,0.0,296864,2765093,,-0.241730812922475,-0.4476434717783275,-0.4384519028208025
1124,PU-1125,桃園市,中壢區,環西路,320,-0.8023499547905503,5,11,15,10,4,0,10.75,0.344079753160251,-0.0948130009878591,1.0,271433,2761830,,0.0420091662384555,-0.1200273884333742,0.6141744397300353
1125,PU-1126,新北市,鶯歌區,鳳福路,239,-0.5436526934448418,5,9,15,10,4,0,1.25,-0.8951992044636945,-0.8193256863726953,0.0,283372,2763090,,-1.1755550115368631,-1.0926376358637042,0.2277132470288148
1126,PU-1127,台北市,大安區,光復南路,106,-0.645891466184032,5,2,6,2,4,2,38.16666666666666,-0.8635996019280814,-0.8193256863726953,0.0,306145,2770850,,-0.6940740100095415,0.2929053832826605,-0.4384519028208025
1127,PU-1128,新北市,永和區,永利路,234,-0.3976488043074227,5,5,14,2,4,0,15.333333333333334,0.1929761992172294,1.3681155982859998,1.0,302444,2766315,,-0.0629435080075116,0.2621913754690712,1.1757174987378858
1128,PU-1129,台北市,北投區,知行路,112,0.2780788248263509,5,4,4,2,4,1,39.66666666666666,-0.6027592464522952,-0.8193256863726953,0.0,297111,2778916,,-0.3430059002002547,0.258778707934228,-0.4384519028208025
1129,PU-1130,桃園市,大園區,中正東路一段,337,1.5242430479809708,4,2,8,2,4,2,17.5,0.0866866270519865,1.3866532362915818,1.0,273114,2770074,,0.1690273622935482,0.0557249896110536,-0.4384519028208025
1130,PU-1131,新竹市,新竹市,東大路二段,300,-0.3201165333021037,5,7,8,2,4,2,25.416666666666668,-0.4074162489594154,1.0591549648596303,1.0,246707,2744851,,-0.4581426614350489,0.3901664080256936,-0.3103432201574146
1131,PU-1132,新竹縣,竹北市,莊敬三路,302,-0.0791320071488689,5,13,27,2,4,0,6.5,1.681030209530637,2.4927323039579843,2.0,252684,2746658,,1.3110595615684002,0.7723851719281392,0.9814193300317476
1132,PU-1133,新北市,三重區,安樂街,241,1.85859796249616,5,3,4,2,4,1,45.16666666666666,-0.4596992277001566,-0.8193256863726953,0.0,300042,2773548,,0.4202348413512812,-1.6420771089734696,-0.4384519028208025
1133,PU-1134,屏東縣,屏東市,勝利路,900,1.0272770529877937,5,2,5,10,4,1,38.333333333333336,-0.629762543164546,-0.8193256863726953,0.0,195864,2508802,,-0.2021260301881475,-1.6420771089734696,-0.4384519028208025
1134,PU-1135,台中市,西屯區,惠中路一段,407,0.7645902203504289,5,4,19,2,4,0,14.083333333333334,3.4598005631716826,1.5643056005117444,2.0,213737,2672548,,2.9973746321350068,1.183611609876752,2.215532973022385
1135,PU-1136,高雄市,楠梓區,惠民路,811,-0.9038196535458068,5,8,15,2,4,0,15.416666666666666,-0.6923872100078515,-0.4871930054393483,1.0,177378,2513891,,-0.8915321410706875,-0.991963943585828,0.0035230523678859
1136,PU-1137,新北市,板橋區,光環路二段,220,-0.6516114539395393,5,3,20,4,5,0,2.75,-0.3959254844010106,-0.8193256863726953,0.0,298578,2767489,,-0.7062383361350849,-0.6063325121485392,0.2234429576067019
1137,PU-1138,新北市,新莊區,中正路,242,0.6546607077719016,5,4,4,2,1,1,47.25,-0.676300139626085,-0.8193256863726953,0.0,294799,2769622,,-0.0776538558802616,-0.7684342200535943,-0.4384519028208025
1138,PU-1139,新北市,土城區,學成路,236,-0.2658968174347758,5,6,15,2,4,0,28.08333333333333,-0.3338753557856252,0.788814410611557,1.0,295704,2764487,,-0.0369175079249536,-0.056893039038774,0.1252263008981047
1139,PU-1140,新北市,三重區,忠孝路三段,241,0.1083538099969758,5,7,7,2,4,2,31.58333333333333,0.1791872817471443,-0.8193256863726953,0.0,298494,2773323,,0.3667683846599394,-0.1660984001537582,-0.4384519028208025
1140,PU-1141,台北市,文山區,萬芳路,116,2.640217465792809,5,4,7,2,4,2,13.916666666666666,-0.2580363097001543,0.9108538608149728,1.0,307363,2765773,,-0.2176850519766332,-0.0381233675971358,-0.4384519028208025
1141,PU-1142,新北市,土城區,學成路,236,0.3270111570541343,5,4,5,2,4,1,39.66666666666666,-0.7619063355862,-0.8193256863726953,0.0,295363,2764686,,-0.529148379051593,1.115358259179887,-0.4384519028208025
1142,PU-1143,台北市,內湖區,金龍路,114,-0.1132836987479259,5,9,12,2,4,0,28.5,-1.4944425761844988,0.5988036210543399,1.0,309141,2775605,,-1.5823527084794535,-0.7718468875884376,-0.4384519028208025
1143,PU-1144,高雄市,大寮區,中正路,831,-0.2742364634480571,5,8,10,2,4,2,28.0,-0.281017838816964,-0.2801893810436807,1.0,186934,2502007,,-0.3362165088743698,0.0096539778906696,-0.1480722221171232
1144,PU-1145,新北市,蘆洲區,民權路,247,0.9013652216806428,5,3,5,2,4,1,34.166666666666664,-0.117274443859697,-0.8193256863726953,0.0,297929,2775667,,0.6895473639447066,0.091557998726908,-0.4384519028208025
1145,PU-1146,台北市,南港區,向陽路,115,0.8568310312984806,5,3,8,2,4,2,14.583333333333334,0.1211589207272003,0.7579183472689203,1.0,309982,2772390,,-0.011174399147641,-0.0961387156894713,0.2277132470288148
1146,PU-1147,台北市,信義區,和平東路三段,110,0.4602051576466572,5,2,5,2,4,1,44.0,-0.3746675699679619,-0.8193256863726953,0.0,306403,2768165,,0.1421526882952546,0.8662335291363287,-0.4384519028208025
1147,PU-1148,新竹市,新竹市,中山路,300,0.007581084539659,5,11,11,10,4,0,5.833333333333333,0.1211589207272003,0.4659505486810013,2.0,246431,2744029,,-0.0094770513161697,-0.4442308042434843,-0.4384519028208025
1148,PU-1149,高雄市,左營區,博愛四路,813,-1.2450481667924036,5,12,15,2,4,0,16.5,-0.680896445449447,-0.8193256863726953,0.0,179754,2509856,,-0.7738493580886865,-1.0329159540039472,-0.4384519028208025
1149,PU-1150,新竹縣,竹北市,勝利一路,302,-0.6211849644501611,5,12,15,2,4,0,17.0,0.2389392574508483,0.246588498948279,1.0,252689,2745997,,0.2230596015953804,0.1785810208654112,-0.1480722221171232
1150,PU-1151,台北市,中山區,中山北路三段,104,-1.113055844299777,5,2,12,5,4,0,39.25,-0.8371708434437507,-0.8193256863726953,0.0,302712,2773079,,-0.922650184647659,-0.6882365329847776,-0.4384519028208025
1151,PU-1152,新北市,三重區,自強路三段,241,0.3838505311792364,5,2,4,2,1,1,49.41666666666666,-0.7751207148283655,-0.8193256863726953,0.0,299112,2773832,,-0.0932128776687477,-1.6420771089734696,-0.4384519028208025
1152,PU-1153,台北市,中正區,臨沂街,100,-0.7392618545459866,5,4,9,2,4,2,25.5,-1.379534930600452,-0.1133506389934412,1.0,303362,2769778,,-1.615168099887896,-1.05680462674785,0.1423074585865563
1153,PU-1154,新北市,林口區,文化三路二段,244,-0.9039878884797924,5,15,19,10,4,0,12.166666666666666,-0.6033337846802153,0.4211512568341775,1.0,288070,2775120,,-0.7645139450155951,-0.4800638133593386,-0.171558813938744
1154,PU-1155,桃園市,龍潭區,大同路,325,-0.1798085983581939,5,4,11,2,4,0,16.5,-0.1442777405719481,0.5725419672130986,1.0,272156,2750564,,-0.0275820948518622,-1.1984303294438454,0.0163339206342248
1155,PU-1156,新北市,板橋區,廣和街,220,-0.4060605510066981,5,15,15,2,4,0,14.75,-0.0483298565092688,-0.0531033154752992,1.0,296701,2765134,,-0.0168322252525449,-1.099462970933391,-0.1181801961623326
1156,PU-1157,高雄市,左營區,重孝路,813,-0.7753842982288739,5,6,14,2,4,0,8.083333333333334,-0.7532882621673965,-0.8193256863726953,0.0,180005,2509559,,-1.0643787285755015,-1.0823996332591743,-0.2270725764262124
1157,PU-1158,台中市,北屯區,文心路四段,406,-1.21248269028521,5,15,22,2,4,0,27.166666666666668,-0.421205166429501,-0.8193256863726953,0.0,217818,2674148,,-0.6182591402038293,-0.1831617378279745,-0.0327744077200742
1158,PU-1159,新北市,永和區,永亨路,234,-0.2886325670848166,5,3,4,2,1,1,46.5,-1.073306055118967,-0.8193256863726953,0.0,303097,2766259,,-0.5792201400799923,-1.6420771089734696,-0.4384519028208025
1159,PU-1160,台中市,西屯區,環中路二段,407,-1.1102919846700154,5,27,29,10,4,0,3.083333333333333,-0.9561002566232392,-0.3682431615701961,1.0,212869,2674282,,-1.1922455985463298,-0.8503382408898327,-0.4384519028208025
1160,PU-1161,台北市,內湖區,內湖路三段,114,0.0206072751425364,5,3,5,2,4,1,40.0,-0.4372922368112676,-0.8193256863726953,0.0,309400,2775573,,-0.1608238996223493,-0.5449044965213606,-0.4384519028208025
1161,PU-1162,新北市,樹林區,大雅路,238,-0.0361599982965717,5,8,15,2,4,0,14.583333333333334,0.2446846397300507,1.0684237838624215,1.0,288199,2760293,,0.2230596015953804,-0.3094304366171754,0.328065048448469
1162,PU-1163,新北市,板橋區,國慶路,220,-0.9465272932161268,5,13,15,10,4,0,2.583333333333333,-0.4551029218767948,-0.8193256863726953,0.0,296768,2765466,,-0.6632388577378152,-0.797441894099762,-0.4384519028208025
1163,PU-1164,新北市,板橋區,南雅南路二段,220,-0.7254906235211731,5,2,13,2,4,0,10.666666666666666,-0.4947460596032911,-0.8193256863726953,0.0,295598,2765637,,-0.6742716186423778,-0.2189947469438289,-0.4384519028208025
1164,PU-1165,新北市,中和區,中原街,235,0.2470755298490224,5,16,23,10,4,0,0.8333333333333334,0.0361272629950056,0.6575061414053504,1.0,299112,2767033,,-0.2793553565200859,-0.2650657586642129,-0.051990710119582
1165,PU-1166,台中市,大里區,德芳南路,412,-0.5102220087057227,5,9,14,4,4,0,17.166666666666668,0.1487367556673715,0.1971547976000598,1.0,218089,2666467,,-0.0595488123445691,0.6375848043018301,0.5159577830214377
1166,PU-1167,嘉義市,嘉義市,圓福街,600,-0.5939789722685055,5,9,15,2,4,0,29.166666666666668,-0.5590943411303572,-0.8193256863726953,0.0,195696,2598489,,-0.6655019881797769,0.3628650677469475,-0.4384519028208025
1167,PU-1168,台中市,北屯區,崇德路二段,406,-0.2674589989646411,5,20,25,2,5,0,29.75,2.305553263279932,-0.8193256863726953,0.0,218109,2673721,,1.7382254324886444,4.876117882577163,0.59922842675264
1168,PU-1169,新北市,林口區,忠孝路,244,-0.3427801822661506,5,15,29,10,4,0,2.1666666666666665,0.5727459678725041,0.1322730645805223,1.0,287032,2774078,,0.0852915359409703,-0.1234400559682174,1.4874486265521305
1169,PU-1170,新北市,新店區,中正路,231,0.926023656290518,0,4,4,2,4,1,48.5,-0.5544980353069954,-0.8193256863726953,0.0,304253,2763174,,-0.0592659210393242,0.3202067235614066,-0.4384519028208025
1170,PU-1171,新北市,汐止區,鄉長路一段,221,-1.1187277649312886,5,13,28,2,4,0,24.5,-0.2833159917286449,-0.8193256863726953,0.0,317146,2774293,,0.1568630361680047,0.2348900351903251,-0.0434501312753563
1171,PU-1172,台北市,中山區,林森北路,104,-1.3415909853380847,5,14,14,2,4,0,17.25,-1.2330276824807924,-0.8193256863726953,0.0,302985,2772970,,-1.573017295406362,-0.6660541940082965,-0.1630182350945183
1172,PU-1173,新北市,中和區,圓通路,235,1.5716131986788886,0,4,5,2,4,1,42.25,-0.5837994849309274,-0.8193256863726953,0.0,299783,2764610,,-0.0015560947693042,-0.316255771686862,-0.4384519028208025
1173,PU-1174,台中市,西屯區,西屯路二段,407,-0.026907076927369,5,4,7,2,4,2,28.25,0.1642492878212176,-0.8193256863726953,1.0,213523,2674904,,0.1243305360648075,-0.3913344574534136,0.4220114157349532
1174,PU-1175,台中市,北屯區,環太東路,406,-0.3565033461669683,5,13,15,10,4,0,2.083333333333333,-0.5619670322699586,0.296022200296498,1.0,222535,2672500,,-0.8259013582538023,-0.3981597925231002,-0.4384519028208025
1175,PU-1176,新北市,新莊區,中港路,242,-0.6476459162098811,5,2,13,2,4,0,26.166666666666668,-0.2114987132386155,-0.8193256863726953,0.0,295678,2771515,,0.2428619929625441,0.2075886949115789,-0.152342511539236
1176,PU-1177,新竹縣,竹北市,嘉仁街,302,0.6580013728896132,5,5,10,2,4,2,18.33333333333333,0.3544214412628156,1.514871899163525,2.0,251794,2746620,,0.3659197107442037,0.0011223090535617,-0.4384519028208025
1177,PU-1178,台北市,文山區,景華街,116,0.3838505311792364,5,2,4,2,1,1,53.0,-0.3735184935121215,-0.8193256863726953,0.0,304952,2765329,,0.5602660374476528,-1.6420771089734696,-0.4384519028208025
1178,PU-1179,新北市,林口區,文化三路一段,244,-0.1043672472466944,5,5,24,10,4,0,0.5833333333333334,0.7439583597927345,0.3778967681544859,1.0,286524,2773657,,0.2765260582867223,-0.5909755082417446,1.352934509755573
1179,PU-1180,基隆市,安樂區,樂利三街,204,0.8488518887151683,5,4,4,2,4,1,42.91666666666666,-0.9785072475121284,-0.8193256863726953,0.0,321915,2779980,,-0.4247614874161161,-1.6420771089734696,-0.4384519028208025
1180,PU-1181,台北市,松山區,敦化北路,105,-0.5128897340874927,5,5,11,2,4,0,47.16666666666666,0.419918799245722,-0.8193256863726953,0.0,305485,2772350,,1.4089399531832372,-1.6420771089734696,-0.4384519028208025
1181,PU-1182,新北市,汐止區,樟樹一路,221,-0.3895254603521226,5,12,13,2,4,0,22.25,-0.4280996251645438,-0.0731857566480133,1.0,314872,2773544,,-0.6092066184359831,-0.1575667313166502,-0.4384519028208025
1182,PU-1183,新北市,三峽區,大義路,237,-1.007788842748848,5,11,18,2,4,0,13.666666666666666,-0.5872467142984489,-0.8193256863726953,0.0,288133,2759780,,-0.7812045320250616,-0.4032787938253651,-0.4384519028208025
1183,PU-1184,台北市,中正區,水源路,100,-0.3342723013188838,5,10,13,2,4,0,15.833333333333334,0.5928548058497124,1.687889853882292,1.0,302559,2768212,,0.5978905810452636,-0.125146389735639,0.0910639855212008
1184,PU-1185,台北市,信義區,信義路五段,110,0.1657459560480304,5,2,4,2,4,1,48.083333333333336,-0.6969835158312138,-0.8193256863726953,0.0,307403,2769040,,-0.2091983128192774,-0.1746300689908665,-0.4384519028208025
1185,PU-1186,新北市,泰山區,泰林路二段,243,0.1422170988520576,5,9,13,2,4,0,15.25,-0.2379274717229462,0.4860329898537152,1.0,292942,2772949,,-0.2940657043928359,-0.3179621054542835,-0.0968287490517679
1186,PU-1187,新竹縣,竹北市,六家五路二段,302,0.1825454158845828,5,11,15,2,4,0,13.333333333333334,0.2860513921403075,0.680678188912328,1.0,253726,2743894,,0.1633695361886442,-0.2872480976406941,0.2661458518278313
1187,PU-1188,台北市,文山區,辛亥路七段,116,0.7655515628303462,5,2,4,2,4,1,44.16666666666666,-0.3447915821161096,-0.8193256863726953,0.0,305878,2764461,,0.3331043193357612,0.007947644123248,-0.4384519028208025
1188,PU-1189,新竹縣,竹北市,莊敬北路,302,-0.3128343640167311,5,17,21,2,4,0,16.583333333333332,0.5216120655876036,1.6600833968739188,2.0,252510,2746586,,0.7466914076042364,-0.3964534587556786,0.0569016701442975
1189,PU-1190,新北市,三重區,中央南路,241,-0.0427211607220065,5,3,4,2,1,1,48.75,-0.90898812193378,-0.8193256863726953,0.0,300583,2772796,,-0.3116049653180381,-1.6420771089734696,-0.4384519028208025
1190,PU-1191,新北市,三重區,五福街,241,0.1548587524629683,0,4,5,2,4,1,41.0,-0.6854927512728087,-0.8193256863726953,0.0,299739,2774884,,-0.286993421761706,0.4055234119324882,-0.4384519028208025
1191,PU-1192,新竹市,新竹市,光復路一段,300,-0.9760164737875856,5,13,14,2,4,0,22.416666666666668,-0.4654446099793589,0.337731885809058,1.0,251445,2741895,,-0.3662029872303605,-0.3810964548488839,-0.4384519028208025
1192,PU-1193,新北市,新店區,明山路,231,-0.2277555545440623,5,5,10,2,4,2,24.166666666666668,-0.0420099360021461,-0.125709064330496,1.0,306892,2760804,,0.2623814930244625,0.3696904028166338,-0.4384519028208025
1193,PU-1194,新北市,淡水區,學府路,251,-0.0918697950077715,5,2,12,2,4,0,14.333333333333334,-0.2815923770448841,0.6729541730766687,1.0,295761,2784824,,-0.5882726618478386,1.1358342643889467,0.1038748537875397
1194,PU-1195,新北市,新店區,光明街,231,-0.2773608265077879,5,3,4,2,1,1,49.66666666666666,-1.3318482576830726,-0.8193256863726953,0.0,304553,2761667,,-0.9998795109795972,-1.6420771089734696,-0.4384519028208025
1195,PU-1196,台北市,中山區,長春路,104,-1.4735592742687134,5,10,12,5,4,0,37.333333333333336,-1.4869735792215355,-0.8193256863726953,0.0,303019,2772000,,-1.5783922302060207,-0.9936702773532496,-0.4384519028208025
1196,PU-1197,新北市,三重區,興華街,241,-0.9428741917924416,5,9,12,2,4,0,27.0,-0.1776009577913216,-0.8193256863726953,0.0,298789,2772536,,0.136777753495596,0.0966770000291728,-0.4384519028208025
1197,PU-1198,新北市,中和區,圓通路,235,0.1829539864385475,5,5,8,2,4,2,13.5,-0.1735791901958797,0.6791333857451959,1.0,300015,2764869,,-0.4106169221538563,0.1700493520283029,-0.0434501312753559
1198,PU-1199,新北市,林口區,文化三路一段,244,0.9696686048787576,5,7,13,10,4,0,10.166666666666666,1.3702050282257898,0.5153842500292205,1.0,287443,2774360,,1.364808909564987,0.6853621497896359,0.0120636312121117
1199,PU-1200,新北市,三重區,後竹圍街,241,-0.1650279577294674,5,5,5,2,4,1,40.91666666666666,-0.7027288981104158,-0.8193256863726953,0.0,298837,2773897,,-0.3152825522862255,0.4055234119324882,-0.4384519028208025
1200,PU-1201,新北市,五股區,四維路,248,0.0377432048470602,5,2,5,2,4,1,34.583333333333336,-0.5257711239109838,-0.8193256863726953,0.0,297090,2773908,,0.192224449323654,-0.9185915915866978,-0.4384519028208025
1201,PU-1202,宜蘭縣,羅東鎮,天祥路,265,-0.1504876527207203,5,2,6,2,4,2,21.25,-0.7676517178654024,-0.1782323720129789,1.0,328650,2730068,,-0.6213709445615264,-0.208756744339299,-0.4384519028208025
1202,PU-1203,桃園市,桃園區,中山路,330,-0.7336139674764732,5,8,10,2,4,2,41.5,-0.5711596439166822,-0.8193256863726953,0.0,280312,2764920,,-0.401281509080765,-1.6420771089734696,-0.4384519028208025
1203,PU-1204,新北市,泰山區,民權街,243,0.3066066629178926,5,2,4,2,4,1,41.583333333333336,-0.3378971233810669,-0.8193256863726953,0.0,293175,2771498,,0.6182587550229176,-1.6420771089734696,-0.4384519028208025
1204,PU-1205,高雄市,苓雅區,中正一路,802,0.1039556681513546,5,4,5,4,4,1,42.583333333333336,-0.93369326573435,-0.8193256863726953,0.0,181180,2503235,,-0.3514926393576105,-1.6420771089734696,-0.4384519028208025
1205,PU-1206,新北市,蘆洲區,環堤大道,247,-0.9297037998175764,5,14,14,2,4,0,22.5,-0.7090488186175383,1.0869614218680037,1.0,296006,2775366,,-0.7011462926406714,-0.2804227625710075,-0.4384519028208025
1206,PU-1207,高雄市,前鎮區,瑞忠街,806,0.186534987176239,5,5,5,4,4,1,41.91666666666666,-0.5746068732842035,-0.8193256863726953,0.0,181058,2501338,,-0.1930735084203015,0.9293678785309292,-0.4384519028208025
1207,PU-1208,台北市,內湖區,瑞光路,114,0.657857171517626,5,3,8,2,4,2,16.083333333333332,-0.1373832818369053,1.0313485078512572,1.0,308879,2773649,,-0.2736975304151819,-0.2480024209899966,-0.128855919717615
1208,PU-1209,台北市,內湖區,行善路,114,-0.5100057066477413,5,8,14,2,4,0,3.0,-0.6699802191189624,0.8166208676199306,1.0,308897,2772741,,-0.9964848153166548,-0.727482209635475,0.1273614456091609
1209,PU-1210,新北市,林口區,忠孝路,244,-0.5029638729823481,5,28,29,10,4,0,2.9166666666666665,0.234917489855407,0.0612121188924573,1.0,286975,2774086,,-0.2372045520385516,-0.524428491312301,1.656125058725591
1210,PU-1211,台北市,大安區,大安路一段,106,-0.1250601441269113,5,2,7,2,4,2,41.41666666666666,-0.0879729942357653,-0.8193256863726953,0.0,305144,2769888,,0.0943440577088167,1.3371816489446993,-0.4384519028208025
1211,PU-1212,台中市,南屯區,向心南路,408,0.0505530933919562,5,3,7,10,4,2,0.1666666666666666,-0.2505673127371914,0.0843841663994349,1.0,213827,2669733,,-0.5062341833267321,-0.4903018159638683,-0.4384519028208025
1212,PU-1213,新北市,新店區,十四張路,231,-0.2065339192998907,5,5,15,10,0,0,1.0833333333333333,-0.2120732514665356,0.9201226798177644,1.0,303791,2763569,,-0.4077880091014041,-0.7479582148445346,-0.4384519028208025
1213,PU-1214,新竹縣,竹北市,光明六路,302,1.8053155555467508,5,17,19,2,4,0,11.666666666666666,4.1837187303511785,3.220334595677084,3.0,253994,2744764,,4.158360548861286,2.040191161122411,1.1629066304715472
1214,PU-1215,新北市,五股區,西雲路,248,0.0525719125997821,5,4,9,2,4,2,17.75,0.3641885911374593,-0.8193256863726953,0.0,294866,2776210,,0.3953404064897042,-0.0074093597835465,-0.0028823817652835
1215,PU-1216,新北市,泰山區,信華一街,243,2.300743402572061,5,15,21,10,4,0,7.75,2.692792028898169,1.5009686706593384,2.0,294499,2770871,,2.567096956857065,1.0624619123898165,1.2419069847806363
1216,PU-1217,新北市,林口區,文化三路一段,244,0.1981431976212388,5,5,13,2,4,0,13.75,0.8795493815819095,1.0097212635114112,2.0,287083,2774185,,0.4555962545069306,0.4686577613270885,1.2995558919791617
1217,PU-1218,台北市,士林區,中山北路七段,111,-0.394187971379721,5,6,7,2,4,2,39.0,-0.5453054236602718,-0.8193256863726953,0.0,303544,2779216,,-0.5548914878289056,1.041985907180757,-0.4384519028208025
1218,PU-1219,台北市,中山區,松江路,104,0.7612014881087206,5,10,12,5,4,0,40.75,3.243199651245754,2.256377419386812,1.0,303786,2772139,,4.388634071330875,-0.0807817117826766,-0.4384519028208025
1219,PU-1220,桃園市,桃園區,民生路,330,0.0627621428869044,5,2,5,2,4,1,39.583333333333336,-0.2344802423554247,-0.8193256863726953,0.0,281189,2766757,,0.22956610161602,1.7159877453123014,-0.4384519028208025
1220,PU-1221,桃園市,蘆竹區,長春路,338,-0.1654605618454302,5,7,11,2,4,0,27.08333333333333,-0.0178793304294962,-0.8193256863726953,0.0,280175,2771617,,0.1065083838343599,0.1956443585396275,-0.1950454057603652
1221,PU-1222,花蓮縣,花蓮市,國盛八街,970,-0.0122466041086322,5,4,5,2,4,1,29.416666666666668,-0.8245310024295055,-0.8193256863726953,0.0,311734,2654733,,-0.6892648578203732,-0.3026051015474889,-0.4384519028208025
1222,PU-1223,台南市,東區,東安路,701,0.1612276463924198,5,10,14,2,4,0,24.25,0.5371245977414497,0.2728501527895204,1.0,170783,2544199,,0.4292873631191272,0.6802431484873709,-0.4384519028208025
1223,PU-1224,台北市,中山區,民權東路二段,104,-1.2885489140086552,5,5,12,2,4,0,42.0,-1.4467559032671191,-0.8193256863726953,0.0,303328,2772840,,-1.4649528168026975,-1.1045819722356556,-0.4384519028208025
1224,PU-1225,新北市,林口區,南勢,244,0.389474384686752,5,6,7,10,4,2,4.5,-0.511982206440898,0.4103376346642547,1.0,286261,2774262,,-0.7271722927232294,-0.8827585824708436,0.095334274943314
1225,PU-1226,新北市,淡水區,自強路,251,0.2493587182388255,5,3,4,2,4,1,43.583333333333336,-0.5648397234095597,-0.8193256863726953,0.0,296725,2779831,,0.0029701661146187,-0.1609793988514934,-0.4384519028208025
1226,PU-1227,新北市,三重區,三和路四段,241,-0.2341004149115154,5,4,4,2,1,1,50.16666666666666,-0.9767836328283676,-0.8193256863726953,0.0,299318,2773993,,-0.4219325743636639,-1.6420771089734696,-0.4384519028208025
1227,PU-1228,高雄市,三民區,愛國路,807,-0.965129270202524,5,13,19,10,4,0,2.083333333333333,-0.7199650449480229,0.0426744808868752,1.0,179909,2505859,,-1.085312685163646,-0.4237547990344247,-0.0818827360743724
1228,PU-1229,台北市,萬華區,西寧南路,108,-1.334765453730673,5,10,13,2,4,0,5.5,-1.1232908809480275,-0.8193256863726953,0.0,301099,2770187,,-1.3840459035025718,-0.7872038914952323,-0.4384519028208025
1229,PU-1230,新竹市,新竹市,中華路三段,300,-0.8934611883246995,5,10,12,2,4,0,27.916666666666668,-0.22298947779702,-0.8193256863726953,0.0,246160,2743221,,-0.1975997693042245,0.9464312162051456,-0.4384519028208025
1230,PU-1231,台中市,西區,公益路,403,-0.4296134417646683,5,8,14,10,4,0,21.166666666666668,0.599749264584756,-0.4841033991050846,1.0,214881,2671809,,0.5475359287116189,-0.2428834196877318,-0.4384519028208025
1231,PU-1232,高雄市,前鎮區,光華三路,806,-0.4241578231911385,5,10,15,2,4,0,16.083333333333332,0.9703264215933068,0.2836637749594433,1.0,179592,2500733,,0.7574412772035536,0.2911990495152389,0.2490646941393797
1232,PU-1233,嘉義市,嘉義市,民國路,600,-0.2776492292517629,5,3,7,2,4,2,42.75,-0.5188766651759408,-0.8193256863726953,0.0,194893,2597754,,-0.0340885948725018,-1.6420771089734696,-0.4384519028208025
1233,PU-1234,桃園市,蘆竹區,五福路,338,0.6743441950482051,5,10,10,2,4,2,18.25,-0.0747586149935995,0.8768681911380726,1.0,279738,2771368,,0.0731272098154271,-0.7547835499142213,0.182875208096629
1234,PU-1235,台北市,中山區,林森北路,104,-1.1989037277563797,5,3,7,2,4,2,35.166666666666664,-1.5185731817571488,-0.8193256863726953,0.0,303157,2771371,,-1.6066813607305404,-0.9783132734464548,-0.4384519028208025
1235,PU-1236,高雄市,鼓山區,美術東六街,804,-0.4517964194887569,5,7,15,2,4,0,15.583333333333334,0.0142948103340366,-0.8193256863726953,0.0,177180,2506915,,-0.1514884865492575,-0.1831617378279745,0.050496236011128
1236,PU-1237,新北市,汐止區,復興路,221,0.0530766174017388,5,5,5,2,4,1,36.66666666666666,-0.5470290383440323,-0.8193256863726953,0.0,316153,2773055,,-0.0592659210393242,0.3935790755605368,-0.4384519028208025
1237,PU-1238,新北市,深坑區,北深路三段,222,1.1529725822369623,5,5,19,2,4,0,7.333333333333333,1.4075500130406051,1.7836676502444666,2.0,310800,2766255,,1.0233591041340366,0.3287383923985149,2.087424290358997
1238,PU-1239,台北市,文山區,木柵路三段,116,-0.5995547586520248,5,24,24,2,5,0,12.833333333333334,0.685929998772791,0.7687319694388431,1.0,307531,2764800,,0.4273071239824111,1.45321234512937,-0.4384519028208025
1239,PU-1240,高雄市,左營區,重清路,813,-0.2730828524721564,5,8,8,2,4,2,27.25,0.0206147308411591,-0.2029492226870884,1.0,179333,2507774,,-0.169310638779705,0.0147729791929347,-0.4384519028208025
